#,poet,title,type,date,time,timestamp
0,milosz,ACCOUNT,daily,2021-12-01,10:48:00,1638373680.0
1,bishop,IN THE WAITING ROOM,daily,2021-12-02,07:29:00,1638448140.0
2,yeats,THE DEATH OF CUCHULAIN,daily,2021-12-03,07:00:00,1638571269.0
3,wilde,HÉLAS!,daily,2021-12-04,07:00:00,1638619200.0
4,shakespeare,SONNET NO. 38,daily,2021-12-05,07:00:00,1638705600.0
5,chesterton,THE DEAD HERO,daily,2021-12-06,07:00:04,1638792004.0
6,bishop,ARRIVAL AT SANTOS,daily,2021-12-07,07:16:50,1638879410.0
7,dickinson,THE BLUE JAY,daily,2021-12-08,07:00:39,1638964839.0
8,thomas,THE SONG OF THE MISCHIEVOUS DOG,daily,2021-12-09,08:12:57,1639055577.0
9,ashbery,ALCOVE,daily,2021-12-10,08:58:33,1639144713.0
10,chesterton,THE MARCH OF THE BLACK MOUNTAIN 1913,daily,2021-12-11,07:05:17,1639224317.0
11,kilmer,DELICATESSEN,daily,2021-12-12,09:11:00,1639318260.0
12,ashbery,THE NEW HIGHER,daily,2021-12-13,07:56:00,1639400160.0
13,rilke,THE ANGELS,daily,2021-12-14,08:11:23,1639487483.0
14,eliot,LA FIGLIA CHE PIANGE,daily,2021-12-15,07:08:35,1639570115.0
15,lawrence,WINTER IN THE BOULEVARD,daily,2021-12-16,08:28:50,1639661330.0
16,milosz,LATE RIPENESS,daily,2021-12-17,07:53:54,1639745634.0
17,owen,A TERRE,daily,2021-12-18,07:00:09,1639828809.0
18,lewis,CLICHE CAME OUT OF ITS CAGE,daily,2021-12-19,07:37:55,1639917475.0
19,gibran,GOD,daily,2021-12-20,08:16:22,1640006182.0
20,moore,GEORGE MOORE,daily,2021-12-21,07:15:58,1640088958.0
21,kilmer,VISION,daily,2021-12-22,09:18:28,1640182708.0
22,nash,MORNING PRAYER,daily,2021-12-23,08:03:01,1640264581.0
23,mccrae,THE DEAD MASTER,daily,2021-12-24,08:00:07,1640350807.0
24,chesterton,THE HOUSE OF CHRISTMAS,daily,2021-12-25,08:35:03,1640439303.0
25,peguy,FREEDOM,daily,2021-12-26,08:00:05,1640523605.0
26,millay,ELAINE,daily,2021-12-27,08:10:55,1640610655.0
27,yeats,THE LAMENTATION OF THE OLD PENSIONER,daily,2021-12-28,08:01:51,1640696511.0
28,huxley,TWO REALITIES,daily,2021-12-29,08:24:38,1640784278.0
29,macneice,SOAP SUDS,daily,2021-12-30,08:15:04,1640870104.0
30,auden,THE MORE LOVING ONE,daily,2021-12-31,08:00:09,1640955609.0
31,rossetti,OLD AND NEW YEAR DITTIES,daily,2022-01-01,13:59:39,1641063579.0
32,tennyson,CROSSING THE BAR,daily,2022-01-02,11:19:08,1641140348.0
33,pasternak,WET PAINT,daily,2022-01-03,07:00:27,1641211227.0
34,shelley,ART THOU PALE FOR WEARINESS,daily,2022-01-04,07:17:24,1641298644.0
35,day-lewis,TEMPT ME NO MORE,daily,2022-01-05,09:18:57,1641392337.0
36,thomas,YOUR BREATH WAS SHED,daily,2022-01-06,10:13:55,1641482035.0
37,blake,THE MARRIAGE OF HEAVEN AND HELL,daily,2022-01-07,02:00:00,1641538800.0
38,donne,INDIFFERENCE,daily,2022-01-08,07:00:00,1641625200.0
39,stevens,SUNDAY MORNING,daily,2022-01-09,12:00:05,1641729605.0
40,lowell,WATER,test,2022-01-09,20:00:00,1641758400.0
41,day-lewis,"COME, LIVE WITH ME AND BE MY LOVE",test,2022-01-09,21:08:36,1641780516.0
42,hugo,THE BOY-KING'S PRAYER,test,2022-01-10,03:00:00,1641783600.0
43,frost,RELUCTANCE,daily,2022-01-10,12:00:04,1641816004.0
44,newman,OPUSCULUM,daily,2022-01-11,12:00:03,1641902403.0
45,berry,THE WISH TO BE GENEROUS,daily,2022-01-12,12:00:03,1641988803.0
46,williams,THE NAIL,daily,2022-01-13,12:00:03,1642075203.0
47,dickinson,HOPE _1_,daily,2022-01-14,12:00:05,1642161605.0
48,merton,FABLE FOR A WAR,daily,2022-01-15,12:00:03,1642248003.0
49,belloc,BECAUSE MY FALTERING FEET,daily,2022-01-16,12:00:06,1642334406.0
50,thompson,TO THE DEAD CARDINAL OF WESTMINSTER,test,2022-01-16,19:32:30,1642361550.0
51,gioia,THE LOST GARDEN,test,2022-01-16,19:32:59,1642361579.0
52,dylan,CHANGING OF THE GUARD,test,2022-01-16,19:33:25,1642361605.0
53,pushkin,THE POET,test,2022-01-16,19:33:56,1642361636.0
54,verlaine,MOONLIGHT,test,2022-01-16,19:34:23,1642361663.0
55,herbert,DEATH,test,2022-01-16,19:34:54,1642361694.0
56,owen,THE SENTRY,test,2022-01-16,19:35:20,1642361720.0
57,rilke,THE KNIGHT,test,2022-01-16,19:35:55,1642361755.0
58,rimbaud,LIVES,test,2022-01-16,19:36:21,1642361781.0
59,herbert,THE AFFLICTION,test,2022-01-16,19:36:48,1642361808.0
