name,month,day,easter_offset,kind,forced

saints_basil_and_gregory,january,2.0,,feast,False
most_holy_name_of_jesus,january,3.0,,feast,False
saint_elizabeth_ann_seton,january,4.0,,feast,False
saint_john_neumann,january,5.0,,feast,False
epiphany,january,6.0,,solemnity,False
blessed_angela_of_foligno,january,7.0,,feast,False
saint_thorfinn,january,8.0,,feast,False
saint_adrian_of_canterbury,january,9.0,,feast,False
servant_of_god_vico_necchi,january,10.0,,feast,False
blessed_william_carter,january,11.0,,feast,False
saint_marguerite_bourgeoys,january,12.0,,feast,False
saint_hilary_of_poitiers,january,13.0,,feast,False
saint_felix_of_nola,january,14.0,,feast,False
saint_paul_the_hermit,january,15.0,,feast,False
saint_berard_and_companions,january,16.0,,feast,False
saint_anthony_of_egypt,january,17.0,,feast,False
saint_charles_of_sezze,january,18.0,,feast,False
saint_fillan,january,19.0,,feast,False
saint_agnes_eve,january,20.0,,feast,False
saint_agnes,january,21.0,,feast,False
saint_vincent_of_saragossa,january,22.0,,feast,False
saint_marianne_cope,january,23.0,,feast,False
saint_francis_de_sales,january,24.0,,feast,False
conversion_of_saint_paul,january,25.0,,feast,False
saints_timothy_and_titus,january,26.0,,feast,False
saint_angela_merici,january,27.0,,feast,False
saint_thomas_aquinas,january,28.0,,feast,False
saints_sarbelius_and_barbea,january,29.0,,feast,False
saint_hyacintha_of_mariscotti,january,30.0,,feast,False
saint_john_bosco,january,31.0,,feast,False
saint_brigid_of_ireland,february,1.0,,feast,False
candlemas,february,2.0,,feast,False
saint_blase,february,3.0,,feast,False
saint_joan_of_valois,february,4.0,,feast,False
saint_agatha,february,5.0,,feast,False
saint_paul_miki_and_companions,february,6.0,,feast,False
saint_colette,march,6.0,,feast,False
saint_jerome_emiliani,february,8.0,,feast,False
saint_apollonia,february,9.0,,feast,False
saint_scholastica,february,10.0,,feast,False
saint_gregory_ii,february,11.0,,feast,False
saint_buonfiglio_monaldo,february,12.0,,feast,False
saint_catherine_de_ricci,february,13.0,,feast,False
saint_valentine,february,14.0,,feast,True
saint_claude_la_colombiere,february,15.0,,feast,False
saint_daniel,february,16.0,,feast,False
blessed_luke_belludi,february,17.0,,feast,False
blessed_john_of_fiesole,february,18.0,,feast,False
saint_conrad_of_piacenza,february,19.0,,feast,False
blesseds_jacinta_and_francisco_marto,february,20.0,,feast,False
saint_peter_damian,february,21.0,,feast,False
chair_of_saint_peter,february,22.0,,feast,False
saint_polycarp,february,23.0,,feast,False
saint_john_theristus,february,24.0,,feast,False
blessed_sebastian_of_aparicio,february,25.0,,feast,False
saint_porphyry_of_gaza,february,26.0,,feast,False
saint_gabriel_of_our_lady_of_sorrows,february,27.0,,feast,False
saint_oswald,february,28.0,,feast,False
leap_day,february,29.0,,feast,False
saint_david_of_wales,march,1.0,,feast,False
saint_agnes_of_bohemia,march,2.0,,feast,False
saint_katharine_drexel,march,3.0,,feast,False
saint_casimir,march,4.0,,feast,False
saint_john_joseph_of_the_cross,march,5.0,,feast,False
saints_perpetua_and_felicity,march,7.0,,feast,False
saint_john_of_god,march,8.0,,feast,False
saint_dominic_savio,march,9.0,,feast,False
saint_john_ogilvie,march,10.0,,feast,False
saint_constantine,march,11.0,,feast,False
saint_maximilian,march,12.0,,feast,False
saint_leander_of_seville,march,13.0,,feast,False
saint_matilda,march,14.0,,feast,False
saint_louise_de_marillac,march,15.0,,feast,False
saint_abban,march,16.0,,feast,False
saint_patrick,march,17.0,,feast,False
saint_cyril_of_jerusalem,march,18.0,,feast,False
saint_joseph,march,19.0,,solemnity,False
blessed_john_of_parma,march,20.0,,feast,False
saint_enda,march,21.0,,feast,False
saint_nicholas_owen,march,22.0,,feast,False
saint_turibius_of_mogrovejo,march,23.0,,feast,False
saint_catherine_of_genoa,march,24.0,,feast,False
annunciation,march,25.0,,solemnity,True
saint_margaret_clitherow,march,26.0,,feast,False
blessed_francis_faa_di_bruno,march,27.0,,feast,False
saint_hesychius_of_jerusalem,march,28.0,,feast,False
saint_berthold,march,29.0,,feast,False
saint_peter_regalado,march,30.0,,feast,False
saint_stephen_of_mar_saba,march,31.0,,feast,False
april_fools,april,1.0,,feast,False
saint_francis_of_paola,april,2.0,,feast,False
saint_benedict_the_african,april,3.0,,feast,False
saint_isidore,april,4.0,,feast,False
saint_vincent_ferrer,april,5.0,,feast,False
saint_crescentia_hoess,april,6.0,,feast,False
saint_john_baptist_de_la_salle,april,7.0,,feast,False
saint_julie_billiart,april,8.0,,feast,False
saint_casilda,april,9.0,,feast,False
blessed_james_oldo,april,10.0,,feast,False
saint_stanislaus,april,11.0,,feast,False
saint_teresa_of_los_andes,april,12.0,,feast,False
saint_martin_i,april,13.0,,feast,False
blessed_peter_gonzalez,april,14.0,,feast,False
blessed_caesar_de_bus,april,15.0,,feast,False
saint_bernadette_soubirous,april,16.0,,feast,False
saint_benedict_joseph_labre,april,17.0,,feast,False
saint_apollonius_the_apologist,april,18.0,,feast,False
saint_alphege,april,19.0,,feast,False
saint_marian,april,20.0,,feast,False
saint_anselm_of_canterbury,april,21.0,,feast,False
earth_day,april,22.0,,feast,False
saint_george,april,23.0,,feast,False
saint_fidelis_of_sigmaringen,april,24.0,,feast,False
saint_mark,april,25.0,,feast,False
saint_cletus,april,26.0,,feast,False
saint_simeon,april,27.0,,feast,False
saint_peter_chanel,april,28.0,,feast,False
saint_catherine_of_siena,april,29.0,,feast,False
saint_pius_v,april,30.0,,feast,False
may_day,may,1.0,,feast,False
saint_athanasius,may,2.0,,feast,False
saints_philip_and_james,may,3.0,,feast,False
blessed_michael_giedroyc,may,4.0,,feast,False
saint_hilary_of_arles,may,5.0,,feast,False
blessed_gerard_of_lunel,may,6.0,,feast,False
saint_rose_venerini,may,7.0,,feast,False
saint_peter_of_tarentaise,may,8.0,,feast,False
saint_catharine_of_bologna,may,9.0,,feast,False
saint_damien_de_veuster,may,10.0,,feast,False
saint_ignatius_of_laconi,may,11.0,,feast,False
saint_pancras,may,12.0,,feast,False
our_lady_of_fatima,may,13.0,,feast,False
saint_matthias,may,14.0,,feast,False
saint_isidore_the_farmer,may,15.0,,feast,False
saint_peregrine_laziosi,may,16.0,,feast,False
saint_paschal_baylon,may,17.0,,feast,False
saint_john_i,may,18.0,,feast,False
saint_theophilus_of_corte,may,19.0,,feast,False
saint_bernardine_of_siena,may,20.0,,feast,False
saint_eugene_de_mazenod,may,21.0,,feast,False
blessed_joachima,may,22.0,,feast,False
saint_john_baptist_rossi,may,23.0,,feast,False
saint_david_i_of_scotland,may,24.0,,feast,False
saint_gregory_vii,may,25.0,,feast,False
saint_philip_neri,may,26.0,,feast,False
saint_augustine_of_canterbury,may,27.0,,feast,False
saint_mary_ann_of_jesus_of_paredes,may,28.0,,feast,False
saint_maximinus_of_trier,may,29.0,,feast,False
saint_joan_of_arc,may,30.0,,feast,False
visitation,may,31.0,,feast,False
saint_justin_martyr,june,1.0,,feast,False
saints_marcellinus_and_peter,june,2.0,,feast,False
blessed_john_xxiii,june,3.0,,feast,False
saint_francis_caracciolo,june,4.0,,feast,False
saint_boniface,june,5.0,,feast,False
saint_norbert,june,6.0,,feast,False
servant_of_god_joseph_perez,june,7.0,,feast,False
saint_william_of_york,june,8.0,,feast,False
saint_ephrem,june,9.0,,feast,False
saint_getulius,june,10.0,,feast,False
saint_barnabas,june,11.0,,feast,False
saint_john_of_sahagun,june,12.0,,feast,False
saint_anthony_of_padua,june,13.0,,feast,False
saint_methodius_i,june,14.0,,feast,False
servant_of_god_orlando_catanii,june,15.0,,feast,False
saint_john_francis_regis,june,16.0,,feast,False
saint_albert_chmielowski,june,17.0,,feast,False
saint_gregory_barbarigo,june,18.0,,feast,False
juneteenth,june,19.0,,feast,False
saint_vincent_kaun,june,20.0,,feast,False
saint_aloysius_gonzaga,june,21.0,,feast,False
saint_thomas_more,june,22.0,,feast,False
saint_johns_eve,june,23.0,,feast,False
saint_john_the_baptist,june,24.0,,solemnity,True
saint_william_of_vercelli,june,25.0,,feast,False
saint_josemaria_escriva,june,26.0,,feast,False
saint_cyril_of_alexandria,june,27.0,,feast,False
saint_irenaeus,june,28.0,,feast,False
saints_peter_and_paul,june,29.0,,solemnity,True
blessed_raymond_lull,june,30.0,,feast,False
saint_junipero_serra,july,1.0,,feast,False
saint_oliver_plunkett,july,2.0,,feast,False
saint_thomas_the_apostle,july,3.0,,feast,False
independence_day,july,4.0,,feast,False
saint_anthony_zaccaria,july,5.0,,feast,False
saint_maria_goretti,july,6.0,,feast,False
blessed_ralph_milner,july,7.0,,feast,False
saint_gregory_grassi_and_companions,july,8.0,,feast,False
saint_nicholas_pick_and_companions,july,9.0,,feast,False
saint_veronica_giuliani,july,10.0,,feast,False
saint_benedict,july,11.0,,feast,False
saints_john_jones_and_john_wall,july,12.0,,feast,False
saint_henry,july,13.0,,feast,False
saint_camillus_de_lellis,july,14.0,,feast,False
saint_bonaventure,july,15.0,,feast,False
our_lady_of_mount_carmel,july,16.0,,feast,False
saint_alexis,july,17.0,,feast,False
saint_frederick,july,18.0,,feast,False
saint_arsenius_the_great,july,19.0,,feast,False
saint_apollinaris_of_ravenna,july,20.0,,feast,False
saint_lawrence_of_brindisi,july,21.0,,feast,False
saint_mary_magdalene,july,22.0,,feast,False
saint_bridget,july,23.0,,feast,False
saint_kunigunde,july,24.0,,feast,False
saint_james,july,25.0,,feast,False
blessed_william_ward,july,26.0,,feast,False
saint_pantaleon,july,27.0,,feast,False
saint_innocent_i,july,28.0,,feast,False
saint_martha,july,29.0,,feast,False
saint_leopold_mandic,july,30.0,,feast,False
saint_ignatius_of_loyola,july,31.0,,feast,False
lammas,august,1.0,,feast,False
saint_peter_julian_eymard,august,2.0,,feast,False
saint_lydia_purpuraria,august,3.0,,feast,False
saint_john_vianney,august,4.0,,feast,False
dedication_of_saint_mary_major_basilica,august,5.0,,feast,False
transfiguration,august,6.0,,feast,False
saint_cajetan,august,7.0,,feast,False
saint_dominic,august,8.0,,feast,False
edith_stein,august,9.0,,feast,False
saint_lawrence,august,10.0,,feast,False
