,name,birth,death,nationality,n_poems
james-agee,James Agee,1909,1955,american,19
conrad-aiken,Conrad Aiken,1889,1973,american,38
anna-akhmatova,Anna Akhmatova,1889,1966,russian,41
william-alabaster,William Alabaster,1567,1640,english,12
louisa-may-alcott,Louisa May Alcott,1832,1888,american,2
richard-aldington,Richard Aldington,1892,1962,english,11
vicente-aleixandre,Vicente Aleixandre,1898,1984,spanish,3
dante-alighieri,Dante Alighieri,~1265,1321,italian,2
yehuda-amichai,Yehuda Amichai,1924,2000,israeli,26
kingsley-amis,Kingsley Amis,1922,1995,english,3
maya-angelou,Maya Angelou,1928,2014,american,4
guillaume-apollinaire,Guillaume Apollinaire,1880,1918,french,5
thomas-aquinas,Saint Thomas Aquinas,1225,1274,italian,3
matthew-arnold,Matthew Arnold,1822,1888,english,22
john-ashbery,John Ashbery,1927,2017,american,96
miguel-angel-asturias,Miguel Ángel Asturias,1899,1974,guatemalan,1
w-h-auden,W. H. Auden,1907,1973,british-american,31
augustine-of-hippo,Saint Augustine of Hippo,354,430,roman,6
william-baer,William Baer,1948,,american,2
maurice-baring,Maurice Baring,1874,1945,english,6
guillaume-du-bartas,Guillaume de Salluste Du Bartas,1544,1590,gascon,1
charles-baudelaire,Charles Baudelaire,1821,1867,french,5
joachim-du-bellay,Joachim du Bellay,~1522,1560,french,2
hilaire-belloc,Hilaire Belloc,1870,1953,french-english,34
stephen-vincent-benet,Stephen Vincent Benét,1898,1943,american,6
robert-hugh-benson,Robert Hugh Benson,1871,1914,english,11
daniel-berrigan,Daniel Berrigan,1921,2016,american,5
wendell-berry,Wendell Berry,1934,,american,34
john-berryman,John Berryman,1914,1972,american,158
laurence-binyon,Laurence Binyon,1869,1943,english,10
elizabeth-bishop,Elizabeth Bishop,1911,1979,american,67
bjornstjerne-bjornson,Bjørnstjerne Bjørnson,1832,1910,norwegian,4
william-blake,William Blake,1757,1827,english,83
veniamin-blazhenny,Veniamin Blazhenny,1921,1999,belarusian,1
alexander-blok,Alexander Blok,1880,1921,russian,2
robert-bly,Robert Bly,1926,2021,american,68
giovanni-boccaccio,Giovanni Boccaccio,1313,1375,italian,2
louise-bogan,Louise Bogan,1897,1970,american,3
bonaventure,Saint Bonaventure,1221,1274,italian,2
jorge-luis-borges,Jorge Luis Borges,1899,1986,argentinian,4
anne-bradstreet,Anne Bradstreet,1612,1672,english-american,5
joe-brainard,Joe Brainard,1942,1994,american,1
bertolt-brecht,Bertolt Brecht,1898,1956,german,23
robert-bridges,Robert Bridges,1844,1930,english,58
joseph-brodsky,Joseph Brodsky,1940,1996,russian-american,24
emily-bronte,Emily Brontë,1818,1848,english,5
rupert-brooke,Rupert Brooke,1887,1915,english,4
gwendolyn-brooks,Gwendolyn Brooks,1917,2000,american,10
george-mackay-brown,George Mackay Brown,1921,1996,scottish,2
elizabeth-barrett-browning,Elizabeth Barrett Browning,1806,1861,english,5
robert-browning,Robert Browning,1812,1889,english,6
william-cullen-bryant,William Cullen Bryant,1794,1878,american,24
charles-bukowski,Charles Bukowski,1920,1994,german-american,10
ivan-bunin,Ivan Bunin,1870,1953,russian,11
basil-bunting,Basil Bunting,1900,1985,british,13
robert-burns,Robert Burns,1759,1796,scottish,9
witter-bynner,Witter Bynner,1881,1968,american,4
lord-byron,Lord Byron,1788,1824,english,4
scott-cairns,Scott Cairns,1954,,american,3
luis-de-camoes,Luís de Camões,~1525,1580,portuguese,6
roy-campbell,Roy Campbell,1901,1957,south_african,3
ernesto-cardenal,Ernesto Cardenal,1925,2020,nicaraguan,2
giosue-carducci,Giosuè Carducci,1835,1907,italian,3
lewis-carroll,Lewis Carroll,1832,1898,english,33
raymond-carver,Raymond Carver,1938,1988,american,7
catullus,Catullus,-84,-54,roman,5
willa-cather,Willa Cather,1873,1947,american,34
catherine-of-siena,Saint Catherine of Siena,1347,1380,italian,5
constantine-p-cavafy,Constantine P. Cavafy,1863,1933,greek,51
guido-cavalcanti,Guido Cavalcanti,~1250,1300,italian,4
jean-de-la-ceppede,Jean de La Ceppède,1550,1623,french,2
geoffrey-chaucer,Geoffrey Chaucer,1340,1400,english,5
g-k-chesterton,G. K. Chesterton,1874,1936,english,65
john-clare,John Clare,1793,1864,english,11
paul-claudel,Paul Claudel,1868,1955,french,11
leonard-cohen,Leonard Cohen,1934,2016,canadian,7
samuel-taylor-coleridge,Samuel Taylor Coleridge,1772,1834,english,7
billy-collins,Billy Collins,1941,,american,4
william-collins,William Collins,1721,1759,english,2
abraham-cowley,Abraham Cowley,1618,1667,english,4
