,name,birth,death,nationality,#_of_poems
agee,James Agee,1909,1955,american,19
aiken,Conrad Aiken,1889,1973,american,5
akhmatova,Anna Akhmatova,1889,1966,russian,8
alcott,Louisa May Alcott,1832,1888,american,2
aleixandre,Vicente Aleixandre,1898,1984,spanish,1
alighieri,Dante Alighieri,1265,1321,italian,2
amichai,Yehuda Amichai,1924,2000,israeli,3
amis,Kingsley Amis,1922,1995,english,3
aquinas,Thomas Aquinas,1225,1274,italian,2
arnold,Matthew Arnold,1822,1888,english,23
ashbery,John Ashbery,1927,2017,american,48
asturias,Miguel Ángel Asturias,1899,1974,guatemalan,1
auden,W. H. Auden,1907,1973,english,23
avila,Teresa of Ávila,1515,1582,spanish,2
baring,Maurice Baring,1874,1945,english,7
baudelaire,Charles Baudelaire,1821,1867,french,5
belloc,Hilaire Belloc,1870,1953,english,12
benet,Stephen Vincent Benét,1898,1943,american,6
benson,Robert Hugh Benson,1871,1914,english,6
berry,Wendell Berry,1934,,american,23
berryman,John Berryman,1914,1972,american,21
bishop,Elizabeth Bishop,1911,1979,american,19
bjornson,Bjørnstjerne Bjørnson,1832,1910,norwegian,4
blake,William Blake,1757,1827,english,31
blok,Alexander Blok,1880,1921,russian,2
bly,Robert Bly,1926,2021,american,13
bogan,Louise Bogan,1897,1970,american,3
borges,Jorge Luis Borges,1899,1986,argentinian,2
brecht,Bertolt Brecht,1898,1956,german,10
bridges,Robert Bridges,1844,1930,english,9
brodsky,Joseph Brodsky,1940,1996,russian,24
bronte,Emily Brontë,1818,1848,english,5
brooke,Rupert Brooke,1887,1915,english,3
brooks,Gwendolyn Brooks,1917,2000,american,4
browning-e,Elizabeth Barrett Browning,1806,1861,english,5
browning-r,Robert Browning,1812,1889,english,6
bryant,William Cullen Bryant,1794,1878,american,24
bukowski,Charles Bukowski,1920,1994,german,2
bunin,Ivan Bunin,1870,1953,russian,2
bunting,Basil Bunting,1900,1985,english,2
burns,Robert Burns,1759,1796,scottish,9
bynner,Witter Bynner,1881,1968,american,4
byron,Lord Byron,1788,1824,english,4
cairns,Scott Cairns,1954,,american,3
camoes,Luís de Camões,1525,1580,portuguese,4
campbell,Roy Campbell,1901,1957,south african,3
cardenal,Ernesto Cardenal,1925,2020,nicaraguan,2
carducci,Giosuè Carducci,1835,1907,italian,3
